,scores,avg_score
0,-36.1057783787615,
1,-34.5863857244312,-26.1057783787615
2,-34.7351572968877,-30.3460820515963
3,-29.2178294941329,-31.8091071333601
4,-28.6606583211238,-31.1612877235533
5,-28.4025969020992,-30.6611618430674
6,-29.5475776012899,-30.2847343529061
7,-28.5352748880668,-30.1794262455323
8,-29.0663293943653,-29.9739073258491
9,-29.3325369070195,-29.873065333462
10,-27.6223217300142,-29.8190124908178
11,-28.4665874294033,-29.6193133307447
12,-28.9193692284111,-29.5232528389663
13,-28.9757795185296,-29.476800253539
14,-29.9941424101632,-29.4410130581811
15,-29.5902102117497,-29.4778883483133
16,-30.3433168894356,-29.4849084647781
17,-31.2370512670211,-29.5354030779932
18,-33.4928891037363,-29.6299390884948
19,-33.1736529089174,-29.8332522471917
20,-32.7892977214667,-30.000272280278
21,-33.5999090849671,-30.1330830155727
22,-33.3661296346323,-30.290666018727
23,-33.8613020825145,-30.4243818281142
24,-33.6747701480942,-30.5675868387142
25,-33.5155002420294,-30.6918741710894
26,-32.9006388693992,-30.8004751738178
27,-33.3725800957655,-30.8782590143949
28,-33.5586969493136,-30.9673419101582
29,-34.1156567518852,-31.0566989804739
30,-33.4688486853495,-31.1586642395209
31,-33.0604413430449,-31.2331863184186
32,-33.4026349841772,-31.2902880379382
33,-32.6375632859931,-31.3542985514606
34,-34.7853416521299,-31.392041631888
35,-29.9693490941922,-31.4889930610378
36,-29.9512293347721,-31.4467807286254
37,-28.2433770055707,-31.4063604206834
38,-28.5414962304012,-31.3231240150225
39,-28.7584469542598,-31.2518002256733
40,-29.0366204990552,-31.1894663938879
41,-28.6158530063701,-31.1369579574286
42,-26.5718499511869,-31.0769316490701
43,-25.4410492153857,-30.9721623072588
44,-26.1488519450311,-30.8464551915344
45,-24.3466583822872,-30.7420640082788
46,-22.2494584489112,-30.603033451192
47,-21.9279023185072,-30.4252978128456
48,-22.6144328154112,-30.2482687400469
49,-22.2379418554951,-30.0924761701564
50,-22.3098838730147,-29.9353854838632
51,-22.2742458976672,-29.7858658444348
52,-22.0398050487861,-29.6414116146892
53,-22.2353479287452,-29.4979850757099
54,-22.3221281899816,-29.3634917952106
55,-22.6502410671321,-29.2354670023882
56,-22.3730226854117,-29.1178736821158
57,-22.2642668412778,-28.9995429628754
58,-22.2317320413019,-28.883417512503
59,-22.171520782592,-28.7706770807877
60,-21.9568453540505,-28.6606911424845
61,-21.9095817776707,-28.5507920311987
62,-22.5896149479049,-28.4436757367869
63,-22.1461741652555,-28.3507541369634
64,-22.3485730383542,-28.2538075749055
65,-22.4378816156678,-28.1629578128047
66,-22.3458619151732,-28.0762142340602
67,-22.4168242276488,-27.9906865875096
68,-22.0090384711805,-27.908718023394
69,-22.0400466127737,-27.823215421188
70,-22.2758970692288,-27.740598723925
71,-22.1419577075606,-27.6636310949856
72,-22.4079175585058,-27.5869411868269
73,-22.2824300642214,-27.5159956576718
74,-21.7142320308469,-27.4452717983009
75,-21.8753189686455,-27.3688579347348
76,-22.1217610516387,-27.2965745272863
77,-22.3279082917052,-27.2293691574727
78,-22.8041643361278,-27.1665299156039
79,-21.6888109883528,-27.1113100981421
80,-22.2390804941543,-27.0435288592698
81,-22.1627559640915,-26.9842146819227
82,-21.6583910999958,-26.925416404876
83,-21.7977252913457,-26.8619582686726
84,-21.7271236258993,-26.8016697808473
85,-22.2939483216615,-26.7419692378479
86,-21.7564208230649,-26.6902480644038
87,-22.1674148990537,-26.6335374064574
88,-22.1466109044318,-26.5827860143278
89,-21.9098008793651,-26.5329413501717
90,-22.0296354309977,-26.4815731227183
91,-22.2980905660312,-26.4326507305016
92,-22.725602125247,-26.3877098591486
93,-22.1780378389408,-26.3483323566336
94,-23.2559210430639,-26.303967521339
95,-23.3186591178724,-26.2718828215676
96,-23.7061223284903,-26.2411200746542
97,-23.6607844102229,-26.214986077271
98,-23.7777499172562,-26.1889227949542
99,-22.8510135996784,-26.1645675133613
100,-23.5246085188002,-26.1314319742245
101,-23.4341750870927,-26.1056202756248
102,-23.177910494947,-25.9940981692515
103,-22.8672936719715,-25.8785257012321
104,-22.9176050467347,-25.8150203430104
105,-23.4909503397172,-25.7575898102666
106,-23.0967589588514,-25.7084733446427
107,-22.8269144326923,-25.6439651582183
108,-22.5063190078312,-25.5868815536646
109,-22.3453013244261,-25.5212814497993
110,-22.8425667939539,-25.4514090939733
111,-22.6564551270252,-25.4036115446127
112,-22.8266867537588,-25.345510221589
113,-22.3741777134011,-25.2845833968424
114,-22.9823626701276,-25.2185673787911
115,-22.8512138697137,-25.1484495813908
116,-23.0981701465395,-25.0810596179704
117,-22.3777158062707,-25.0086081505415
118,-22.227943046354,-24.920014795934
119,-22.202785351662,-24.8073653353601
120,-22.5996905908911,-24.6976566597876
121,-21.4200787347761,-24.5957605884818
122,-22.5157789902603,-24.4739622849799
123,-22.6271183789499,-24.3654587785362
124,-22.7102098237033,-24.2531169415005
125,-22.5832171146768,-24.1434713382566
126,-22.3915527882508,-24.0341485069831
127,-22.8615861325222,-23.9290576461716
128,-23.167262643544,-23.8239477065392
129,-23.2532862067614,-23.7200333634815
130,-22.7774374154002,-23.6114096580303
131,-22.5637072791453,-23.5044955453308
132,-22.4499383986356,-23.3995282046918
133,-22.1349582090224,-23.2900012388364
134,-22.4114947657298,-23.1849751880666
135,-21.9278383172302,-23.0612367192026
136,-22.6337530625511,-22.980821611433
137,-22.4844797381019,-22.9076468487108
138,-22.3612630033223,-22.8500578760361
139,-23.0935450886824,-22.7882555437653
140,-22.4376464155094,-22.7316065251096
141,-23.0507885142213,-22.6656167842741
142,-23.1726855372756,-22.6099661393526
143,-22.7327876588107,-22.5759744952135
144,-22.5953731669418,-22.5488918796478
145,-22.9419166418093,-22.5133570918669
146,-23.3931992667901,-22.4993096744621
147,-24.0422818428861,-22.5107470826409
148,-22.7032544889363,-22.5318908778847
149,-22.9199891954492,-22.5327790946199
150,-23.445478506355,-22.5395995680195
151,-23.2698775477045,-22.5509555143529
152,-24.1658694361221,-22.5609118308532
153,-23.4333174211967,-22.5821724747266
154,-23.291338660499,-22.5941521696511
155,-23.3403885324708,-22.6038442743563
156,-23.2711608276079,-22.6107457490097
157,-23.9506468267324,-22.6197271304316
158,-23.911180235437,-22.6365909302862
159,-23.5391448390481,-22.6533854122275
160,-23.9823412313636,-22.6670616527921
161,-23.1747348930305,-22.6873166115652
162,-23.9006037655734,-22.6999681427188
163,-23.5373207422762,-22.7130780308955
164,-23.4598729093225,-22.7269894966657
165,-24.2777557338137,-22.7381024953754
166,-22.5357674013132,-22.7565012365568
167,-22.8421658235459,-22.7584002914182
168,-23.9042897971119,-22.7626537073772
169,-23.8005846802448,-22.7816062206365
170,-23.6750157622602,-22.7992116013112
171,-23.3999690486669,-22.8132027882416
172,-23.684505466576,-22.8257829016526
173,-23.4316242405497,-22.8385487807333
174,-23.5471172150936,-22.8500407224966
175,-23.30281049176,-22.8683695743391
176,-23.3372767275691,-22.8826444895702
177,-23.4354587458256,-22.8947996463295
178,-23.2023401102477,-22.9058751508707
179,-23.7907700924851,-22.9098569086119
180,-22.7083541500328,-22.9308764996533
181,-23.8038532221898,-22.935569236212
182,-24.2887818276019,-22.951980208793
183,-23.6093297000128,-22.9782841160691
184,-24.1512470239948,-22.9964001601557
185,-22.5091227159224,-23.0206413941367
186,-23.5312416909089,-23.0227931380793
187,-24.0197804136514,-23.0405413467578
188,-23.1364644938593,-23.0590650019037
189,-23.8967974026773,-23.068963537798
190,-23.4665019980961,-23.0888335030311
191,-23.5918769959411,-23.1032021687021
192,-24.8338289949868,-23.1161400330012
193,-27.8919774829357,-23.1372223016986
194,-27.9926862013522,-23.1943616981386
195,-28.3838218412442,-23.2417293497214
196,-27.7882158726616,-23.2923809769552
197,-27.3960551699259,-23.3332019123969
198,-27.7557678449689,-23.3705546199939
199,-28.2089013458773,-23.410334799271
200,-27.5535310265268,-23.463913676733
201,-27.9931288748089,-23.5042029018103
202,-27.616212887284,-23.5497924396874
203,-27.3630170669546,-23.5941754636108
204,-27.3602131976725,-23.6391326975606
205,-27.1501393233375,-23.68355877907
206,-27.3352085813948,-23.7201506689062
207,-27.387918082958,-23.7625351651317
208,-27.4081576542482,-23.8081452016343
209,-27.2581381617704,-23.8571635880985
210,-27.0836527125675,-23.9062919564719
211,-25.1670628595342,-23.9487028156581
212,-25.1534498182672,-23.9738088929832
213,-25.6314178915247,-23.9970765236282
214,-24.6260912759812,-24.0296489254095
215,-26.086619554362,-24.046086211468
216,-25.9063272403356,-24.0784402683145
217,-25.7124585547705,-24.1065218392525
218,-26.6237509957706,-24.1398692667375
219,-25.2691730966885,-24.1838273462316
220,-26.141766610952,-24.2144912236819
221,-26.376615126213,-24.2499119838825
222,-25.449443837517,-24.2994773477969
223,-25.8744061683361,-24.3288139962694
224,-26.1614969590113,-24.3612868741633
225,-26.5701347776431,-24.3957997455164
226,-26.0889815394586,-24.435668922146
227,-26.4724125443791,-24.4726432096581
228,-26.8334192857965,-24.5087514737767
229,-26.9404528150084,-24.5454130401992
230,-26.8189728607432,-24.5822847062817
231,-26.4780393045626,-24.6227000607351
232,-27.0061291540527,-24.6618433809893
233,-26.950483022064,-24.7074052885435
234,-27.0406880324155,-24.7555605366739
235,-26.3413101086769,-24.8018524693407
236,-27.2919893205323,-24.8459871872552
237,-27.5079689147851,-24.892569549835
238,-26.753899817076,-24.9428044416018
239,-27.2352287971933,-24.9867308097394
240,-27.0953922062169,-25.0281476468245
241,-27.2741762540508,-25.0747251047316
242,-27.3785367864137,-25.1169589821299
243,-27.5116311641634,-25.1590174946212
244,-26.8475716104064,-25.2068059296748
245,-27.6526188063441,-25.2493279141094
246,-27.8555793870567,-25.2964349357548
247,-27.6990192345408,-25.3410587369574
248,-27.4561252848259,-25.377626110874
249,-27.3932153684978,-25.4251548188329
250,-27.6086228995211,-25.4698870805634
251,-28.1725444403955,-25.511518524495
252,-26.4491435796413,-25.5605451934219
253,-28.0965673189731,-25.5833779348571
254,-27.465985669418,-25.6300104338349
255,-27.9757155323999,-25.6717569039241
256,-27.6385606878712,-25.7181101739234
257,-26.9468394566346,-25.761784172526
258,-27.7926967711055,-25.791746098825
259,-27.2991906713435,-25.8305612641817
260,-27.9631094174375,-25.8681617225047
261,-27.470108102928,-25.9079694043654
262,-27.7052249714441,-25.9509231364644
263,-27.4164367465615,-25.9889693485231
264,-28.2074445138533,-26.0277605085659
265,-28.1179180726074,-26.0752362246112
266,-27.6878224683521,-26.1136378479992
267,-27.908360374598,-26.1651583986696
268,-28.2226214455752,-26.2158203441801
269,-28.0443671062245,-26.2590036606647
270,-27.2690507499806,-26.3014414849245
271,-27.9005413673052,-26.3373818348017
272,-27.8692508626111,-26.3823875579881
273,-27.6253952660176,-26.4242350119485
274,-27.7493877042089,-26.4661727222031
275,-27.6929185030824,-26.5081954270943
276,-27.8500900634222,-26.5520965072075
277,-27.6725636132177,-26.597224640566
278,-26.8983855536792,-26.63959568924
279,-28.2946416889114,-26.6765561436743
280,-28.4821683811604,-26.7215948596385
281,-27.4764812056503,-26.7793330019498
282,-25.9529983205973,-26.8160592817844
283,-26.7200944202572,-26.8327014467144
284,-26.5132799055944,-26.8638090939168
285,-26.8301496827928,-26.8874294227328
286,-27.0117525803979,-26.9306396924015
287,-26.7437088756066,-26.9654448012964
288,-27.3548787070325,-26.992684085916
289,-26.591075135778,-27.0348682280477
290,-26.5860990125003,-27.0618110053787
291,-24.9021068223134,-27.0930069755227
292,-25.957244135964,-27.1061092737865
293,-24.8529900176792,-27.1173434251962
294,-26.2096934188451,-27.0869535505437
295,-25.2230002441218,-27.0691236227186
296,-25.2455724289377,-27.0375154067474
297,-25.2963804294219,-27.0120889723101
298,-25.3673121458247,-26.9910922249051
299,-24.9903062700224,-26.9672076679137
300,-25.3198121343956,-26.9350217171551
301,-26.0105097727226,-26.9126845282338
302,-24.520779153065,-26.8928583372129
303,-24.8513232258703,-26.8619039998707
304,-25.1420258614015,-26.8367870614599
305,-25.1576101230172,-26.8146051880972
306,-26.1849798403332,-26.794679896094
307,-24.7340424416063,-26.7831776086834
308,-25.0237188601611,-26.7566388522699
309,-24.6320024146239,-26.732794464329
310,-24.3853796540573,-26.7065331068575
311,-25.2189167285726,-26.6795503762724
312,-25.1862034792304,-26.6800689149628
313,-24.1824588862843,-26.6803964515724
314,-24.6981813699333,-26.66590686152
315,-25.0380254747681,-26.6666277624595
316,-25.6471563837094,-26.6561418216636
317,-24.3825413982201,-26.6535501130973
318,-24.824214307554,-26.6402509415318
319,-25.0981035535597,-26.6222555746497
320,-24.9244307494981,-26.6205448792184
321,-25.2570249747849,-26.6083715206038
322,-24.7256302025711,-26.5971756190896
323,-24.89351521811,-26.5899374827401
324,-24.6199519992715,-26.5801285732379
325,-24.7048266997703,-26.5647131236405
326,-24.7460196530495,-26.5460600428617
327,-25.274811184408,-26.5326304239976
328,-24.5166147369658,-26.5206544103979
329,-24.7673487944976,-26.4974863649096
330,-23.9009133731059,-26.4757553247045
331,-24.5524206806535,-26.4465747298281
332,-24.1796555438523,-26.427318543589
333,-24.1048836676647,-26.399053807487
334,-24.4084582676192,-26.370597813943
335,-24.9500596269087,-26.3442755162951
336,-23.9485938955703,-26.3303630114774
337,-24.6304580533674,-26.2969290572278
338,-24.619843848442,-26.2681539486136
339,-24.1935906394393,-26.2468133889273
340,-23.8245412886301,-26.2163970073497
341,-24.5690274630134,-26.1836884981739
342,-24.75647350532,-26.1566370102635
343,-24.3880518090569,-26.1304163774525
344,-24.2744904583934,-26.0991805839015
345,-24.2852060478949,-26.0734497723813
346,-24.4912743223823,-26.0397756447969
347,-24.4934697648572,-26.0061325941501
348,-24.0142648209026,-25.9740770994533
349,-24.8102456925275,-25.939658494814
350,-23.8115040924826,-25.9138287980543
351,-25.0682551694382,-25.8758576099839
352,-24.0979199891417,-25.8448147172744
353,-24.080998487439,-25.8213024813694
354,-23.9071635301704,-25.781146793054
355,-24.1802254265371,-25.7455585716616
356,-23.990546071059,-25.7076036706029
357,-24.399442488513,-25.6711235244348
358,-24.161050383295,-25.6456495547536
359,-23.7073323685452,-25.6093330908755
360,-24.1291855076861,-25.5734145078475
361,-23.92947669672,-25.53507526875
362,-24.2681962621404,-25.4996689546879
363,-24.5059710729065,-25.4652986675949
364,-24.2674196127218,-25.4361940108583
365,-23.790400413026,-25.396793761847
366,-23.5931690230922,-25.3535185852512
367,-24.5517578840607,-25.3125720507986
368,-23.8296570681681,-25.2790060258932
369,-23.4061789224231,-25.2350763821192
370,-24.8481500813466,-25.1886945002812
371,-22.6897072572158,-25.1644854935948
372,-23.6150766096811,-25.1123771524939
373,-23.8326953003851,-25.0698354099646
374,-24.61508189996,-25.0319084103083
375,-23.4869510060848,-25.0005653522658
376,-23.7896508989509,-24.9585056772958
377,-23.8849847199547,-24.9179012856511
378,-24.4981155440638,-24.8800254967185
379,-24.2535777751981,-24.8560227966223
380,-24.1728085513438,-24.8156121574852
381,-24.1215612883461,-24.772518559187
382,-24.1124519369897,-24.738969360014
383,-23.7051100551319,-24.7205638961779
384,-24.0987635873066,-24.6904140525266
385,-24.0665540747757,-24.6662688893438
386,-23.3952586961829,-24.6386329332636
387,-23.5358574922005,-24.6024679944215
388,-23.9969562890955,-24.5703894805874
389,-23.946856974467,-24.536810256408
390,-23.5586817332862,-24.5103680747949
391,-23.5114413833334,-24.4800939020028
392,-23.9100180857262,-24.466187247613
393,-24.3219245269473,-24.4457149871106
394,-23.6625363019165,-24.4404043322033
395,-23.7404519263655,-24.414932761034
396,-24.39508769453,-24.4001072778564
397,-23.7280180370394,-24.3916024305123
398,-23.9563256593536,-24.3759188065885
399,-23.8639313943991,-24.3618089417238
400,-23.1720417322174,-24.3505451929676
401,-23.6741035048801,-24.3290674889458
402,-23.2913509087472,-24.3057034262674
403,-23.8370461668639,-24.2934091438242
404,-24.2144780966968,-24.2832663732341
405,-24.0798266737792,-24.2739908955871
406,-23.6814930097006,-24.2632130610947
407,-23.5844327704568,-24.2381781927884
408,-24.0289291017,-24.2266820960769
409,-23.6401290294614,-24.2167341984923
410,-24.1026383255276,-24.2068154646406
411,-23.6287548304776,-24.2039880513553
412,-23.8010206022077,-24.1880864323744
413,-23.6763624290961,-24.1742346036042
414,-24.2099210194869,-24.1691736390323
415,-23.6446033003309,-24.1642910355278
416,-23.3661811078476,-24.1503568137835
417,-23.6282674476785,-24.1275470610248
418,-23.656940378942,-24.1200043215194
419,-24.1587941346281,-24.1083315822333
420,-23.9350850614667,-24.098938488044
421,-23.9274960283416,-24.0890450311637
422,-23.6165946140723,-24.0757497416992
423,-23.0000185732384,-24.0646593858142
424,-23.7181994540436,-24.0457244193655
425,-23.2277135109975,-24.0367068939133
426,-23.5009395944435,-24.0219357620255
427,-23.1786328029581,-24.0094849614395
428,-23.5496388877653,-23.988523177625
429,-23.4990254248293,-23.978853419133
430,-23.6747993989571,-23.9661701854363
431,-23.8641916637369,-23.9639090456948
432,-23.4560600377279,-23.9570267555256
433,-24.1372085733225,-23.9497908004644
434,-26.0423231533315,-23.950114049521
435,-24.543977965064,-23.9664526983781
436,-24.8884394455687,-23.9623918817596
437,-24.5755179322427,-23.9717903372596
438,-24.4068609779351,-23.9712409360484
439,-25.022294310329,-23.9691111073433
440,-25.7158270653235,-23.9773981440522
441,-24.85820139983,-23.9963110018191
442,-24.1504184748279,-23.9992027411873
443,-23.2845451569407,-23.9931421908824
444,-22.7234300034139,-23.9821071243612
445,-21.3315236903122,-23.9665965198114
446,-21.8746568092001,-23.9370596962356
447,-20.0486981447137,-23.8776317557292
448,-21.7324031125292,-23.8321844119129
449,-21.9970649695713,-23.7812658017006
450,-21.9334875267738,-23.7331822137779
451,-21.7400896819729,-23.6913439463948
452,-20.1556368433838,-23.6297157360176
453,-20.5539599934969,-23.5822843260834
454,-19.8328651130844,-23.5301467136415
455,-20.2021752261247,-23.4858856685194
456,-20.3639375178927,-23.4288205329072
457,-20.1078001310718,-23.375174927644
458,-20.5765719788811,-23.315824078662
459,-20.4643904281174,-23.2545321304884
460,-20.6260942035804,-23.2005703453297
461,-20.1772347682086,-23.1389937906872
462,-20.5107438385445,-23.0870038943113
463,-20.7511005076136,-23.0287078922812
464,-20.6924202869609,-22.970752309802
465,-20.6318719015528,-22.9159404858423
466,-20.617783771675,-22.8647815623853
467,-20.7124046075524,-22.8180562284671
468,-20.5467635819782,-22.758129298184
469,-20.7870617971994,-22.7058464427621
470,-20.8850054577917,-22.655559783033
471,-20.8542456095022,-22.59328068611
472,-20.6778085928339,-22.5549247464327
473,-20.6402404248633,-22.5088398324946
474,-20.559674365073,-22.4563960713845
475,-20.3519970895987,-22.3996145662454
476,-20.5311625636219,-22.3493227537545
477,-20.5326953388555,-22.3022497364327
478,-20.9451541484093,-22.2455446911071
479,-20.1322656022871,-22.188494801394
480,-21.1027359735946,-22.1330341122152
481,-20.3062701238294,-22.080581419876
482,-20.8749918406778,-22.0315186786699
483,-20.8374931326951,-21.9784759909241
484,-20.8168628921524,-21.9284508923533
485,-21.0951358161518,-21.8803810649416
486,-21.3653976404913,-21.8287365429974
487,-20.9127268011586,-21.7878533406256
488,-21.0276557936434,-21.7425202918648
489,-20.8570060825978,-21.6923923759323
490,-20.6527095650433,-21.6468153127372
491,-21.1048557742219,-21.6039479431701
492,-21.3315218971595,-21.5642375257855
493,-21.2333967505169,-21.5165049605364
494,-20.6883737347329,-21.4724299964291
495,-21.3838005926361,-21.4219319163029
496,-20.9692827130681,-21.3811021617962
497,-19.8746568092001,-21.3411449916159
498,-20.0486981447137,-21.2989491139464
